id,phase,phase_name,title,status,depends_on
P0-001,0,Engineering Foundation,Create the Git repository,done,
P0-002,0,Engineering Foundation,Configure branch protection for main,done,P0-001
P0-003,0,Engineering Foundation,Add root .gitignore and .gitattributes,done,P0-002
P0-004,0,Engineering Foundation,Add .editorconfig,done,P0-003
P0-005,0,Engineering Foundation,Create the monorepo directory structure,done,P0-004
P0-006,0,Engineering Foundation,Initialize the pnpm workspace,done,P0-005
P0-007,0,Engineering Foundation,Pin Node.js and pnpm versions,done,P0-006
P0-008,0,Engineering Foundation,Initialize the Python uv workspace,done,P0-007
P0-009,0,Engineering Foundation,Pin the Python runtime version,done,P0-008
P0-010,0,Engineering Foundation,Create the initial FastAPI service,done,P0-009
P0-011,0,Engineering Foundation,Create the initial Next.js assistant application,done,P0-010
P0-012,0,Engineering Foundation,Create the initial Next.js administration application,done,P0-011
P0-013,0,Engineering Foundation,Create the widget-loader package,done,P0-012
P0-014,0,Engineering Foundation,Create the browser-extension package,done,P0-013
P0-015,0,Engineering Foundation,Configure Python formatting with Ruff,done,P0-014
P0-016,0,Engineering Foundation,Configure Python linting with Ruff,done,P0-015
P0-017,0,Engineering Foundation,Configure Python type checking with mypy,done,P0-016
P0-018,0,Engineering Foundation,Configure TypeScript strict mode,done,P0-017
P0-019,0,Engineering Foundation,Configure ESLint,done,P0-018
P0-020,0,Engineering Foundation,Configure Prettier,done,P0-019
P0-021,0,Engineering Foundation,"Configure Markdown, shell, Docker and YAML linting",done,P0-020
P0-022,0,Engineering Foundation,Configure pytest,done,P0-021
P0-023,0,Engineering Foundation,Configure Vitest and React Testing Library,done,P0-022
P0-024,0,Engineering Foundation,Configure Playwright,done,P0-023
P0-025,0,Engineering Foundation,Create root Makefile commands,done,P0-024
P0-026,0,Engineering Foundation,Configure pre-commit hooks,done,P0-025
P0-027,0,Engineering Foundation,Configure Gitleaks,done,P0-026
P0-028,0,Engineering Foundation,Configure Dependabot,done,P0-027
P0-029,0,Engineering Foundation,Configure GitHub Dependency Review,done,P0-028
P0-030,0,Engineering Foundation,Configure CodeQL,done,P0-029
